,,,,,,,,,,,,
,,ターゲット,課題カテゴリ1,課題カテゴリ2,課題カテゴリ3,課題カテゴリ4,Drill,クリア基準(レベル3),クリア基準(レベル2),クリア基準(レベル1),備考,開発者コメント
,,80切り,パーオン率が低い,グリーンに止まらない,玉が低すぎる,,,,,,,
,,80切り,パーオン率が低い,グリーンに止まらない,トップする,,,,,,,
,,80切り,パーオン率が低い,グリーンに止まらない,ドローが強すぎる,,,,,,,
,,80切り,パーオン率が低い,グリーンに止まらない,スピン系のギアを使っていない,,,,,,,
,,80切り,パーオン率が低い,あらゆるライからでも100yd以内はグリーンオンさせることができない,ライの対応ができない,,これはコースでの経験しかないからドリルだと正直難しい,,,,,
,,80切り,パーオン率が低い,ティーショットでOB・ハザード率が高い,逆玉が出る,,まずはもち玉を決め、もち玉が打てるようになる,10回中10回,10回中5回,10回中3回,,
,,80切り,パーオン率が低い,ティーショットでOB・ハザード率が高い,逆玉が出る,アドレスがコースだとオープン・クローズ度合いが強くなる,練習場で映像を後ろから確認し、もち玉が出る時と出ない時のアドレスの違いを確認する。コースでも後ろから撮影し、ミスが出た時のアドレスを確認する。,実施したらクリア,実施したらクリア,実施したらクリア,,
,,80切り,パーオン率が低い,ティーショットでOB・ハザード率が高い,曲幅が大きすぎる,,左右どちらかに20yd（基準点から±40yd）以内に10回中10回打てる,10回中10回,10回中5回,10回中3回,,
,,80切り,パーオン率が低い,ティーショットでOB・ハザード率が高い,チョロする,,"振り幅を20%, 40%. 50%, 80%, 100%, 120%と1球ずつ強くしながら打つ。",5週連続でできた,3週連続でできた,1週連続でできた,,
,,80切り,パーオン率が低い,ティーショットでOB・ハザード率が高い,マネジメント,ハザード・OBに入るクラブ選択をしている,"ティーボックスから入れてはいけないOB, ハザードまでの距離を把握する習慣を身につける。ティーショットを打つクラブで発生しうるミスのリストを作成し、そこに対する確率を記載する。いずれのミスが発生したとしてもOB, ハザードに入らないクラブ選択ができていることを確認する。",実施したらクリア,実施したらクリア,実施したらクリア,,
,,"100切り, 90切り",ボギーオン率が低い,アプローチで1打でグリーンオンしない,アプローチがダフる/ざっくりする,,,,,,,
,,"100切り, 90切り",ボギーオン率が低い,アプローチで1打でグリーンオンしない,アプローチでトップする,,,,,,,
,,"100切り, 90切り",ボギーオン率が低い,アプローチで1打でグリーンオンしない,マネジメント,そもそもアプローチしやすい場所に運べていない,,,,,,
,,"100切り, 90切り",ボギーオン率が低い,ティーショットでOB・ハザード率が高い,逆玉が出る,,まずはもち玉を決め、もち玉が打てるようになる,10回中10回,10回中5回,10回中3回,,スライスだとしてもそれを持ち玉にしてゴルフを組み立てれば、スライスも武器になる。スライスが悪い分けじゃない。僕は50ydぐらいチーピンしてた時期は、右の森に向かってティーショットしてましたがそれでも80台出てました笑
,,"100切り, 90切り",ボギーオン率が低い,ティーショットでOB・ハザード率が高い,逆玉が出る,アドレスがコースだとオープン・クローズ度合いが強くなる,練習場で映像を後ろから確認し、もち玉が出る時と出ない時のアドレスの違いを確認する。コースでも後ろから撮影し、ミスが出た時のアドレスを確認する。,実施したらクリア,実施したらクリア,実施したらクリア,,動画を見返してみると、思ったより右や左を向きすぎていることに気づくかもしれません。自分はめちゃくちゃ左向いて立つ癖があると気づきました。
,,"100切り, 90切り",ボギーオン率が低い,ティーショットでOB・ハザード率が高い,曲幅が大きすぎる,,左右どちらかに20yd（基準点から±40yd）以内に10回中10回打てる,10回中10回,10回中5回,10回中3回,,厳密に20ydじゃなくても、ざっくり「この柱からこの柱までの間にボールが入ればOK」みたいな感じで決めるでOK。
,,"100切り, 90切り",ボギーオン率が低い,ティーショットでOB・ハザード率が高い,チョロする,,"振り幅を20%, 40%. 50%, 80%, 100%, 120%と1球ずつ強くしながら打つ。",5週連続でできた,3週連続でできた,1週連続でできた,,小さい動きから積み上げていこう。フルショットは自分が完璧にできる小さい動きの延長線上にあることを意識しよう。
,,"100切り, 90切り",ボギーオン率が低い,ティーショットでOB・ハザード率が高い,マネジメント,ハザード・OBに入るクラブ選択をしている,"ティーボックスから入れてはいけないOB, ハザードまでの距離を把握する習慣を身につける。ティーショットを打つクラブで発生しうるミスのリストを作成し、そこに対する確率を記載する。いずれのミスが発生したとしてもOB, ハザードに入らないクラブ選択ができていることを確認する。",実施したらクリア,実施したらクリア,実施したらクリア,,
,,"100切り, 90切り",ボギーオン率が低い,（平たいところからでも）ウェッジでトップする,,,,,,,,
,,"100切り, 90切り",ボギーオン率が低い,（平たいところからでも）ウェッジでダフる,,,,,,,,
,,"100切り, 90切り",ボギーオン率が低い,ティーショットでチョロする,,,,,,,,
,,"100切り, 90切り",ボギーオン率が低い,（平たいところからでも）アイアンでダフる,,,,,,,,
,,"100切り, 90切り",ボギーオン率が低い,（平たいところからでも）アイアンでチョロする,,,,,,,,
,,"100切り, 90切り",ボギーオン率が低い,マネジメントができていない,確実に1打でグリーンオンできる場所を特定する,,,,,,,
,,"100切り, 90切り",ボギーオン率が低い,マネジメントができていない,確実に1打でグリーンオンできる場所に(par4なら）2打で最も確率の高い持っていくためのクラブ選択とコースマネジメント,,,,,,,
,,"100切り, 90切り",3パットが多い,15mロングパットでカップ1.5m以内,,,,,,,,
,,"100切り, 90切り",3パットが多い,3パットOKとする距離を決めていない,,,,,,,,
,,,,,,,ウェッジの精度を上げるしかない,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,ショートパット成功率が低い,まっすぐ打てていない,,,,,,,,
,,,,一定の距離感（1.5mの再現性）が悪い,,,,,,,,
,,,,,,,,,,,,
,,,ゴルフが楽しくない,スコアが出ていない,,,,,,,,
,,,,一緒に回っている人に嫌なことを言われた,,,,,,,,
,,,,心から好きじゃないギアを使っていない,,,,,,,,
,,,,スコアにこだわりすぎてる,,,そもそもゴルフが上手くなるには,,,,,
,,,スイングを綺麗にしたい,,,,,,,,,
,,,,,,,,,,,,
,,,寄せワン率が低い,,,,,,,,,
